participant_id,sex,age,heat_lv,regulation,ratings,nps
sub-20,F,34,1,2,26.48 ,(2.68)
sub-21,M,55,1,2,14.60 ,1.36 
sub-22,M,27,1,2,33.36 ,(0.31)
sub-23,F,21,1,2,38.68 ,4.32 
sub-24,F,34,1,2,95.38 ,(0.65)
sub-25,F,22,1,2,26.04 ,3.15 
sub-26,F,20,1,2,66.63 ,(0.67)
sub-27,M,32,1,2,26.17 ,0.75 
sub-28,M,19,1,2,18.11 ,2.34 
sub-29,F,48,1,2,35.45 ,(0.26)
sub-30,F,19,1,2,32.15 ,1.38 
sub-31,F,34,1,2,50.64 ,1.94 
sub-32,M,26,1,2,86.15 ,(2.55)
sub-33,F,26,1,2,62.48 ,(0.63)
sub-01,M,24,1,3,108.67 ,11.84 
sub-02,F,24,1,3,63.75 ,5.01 
sub-03,M,34,1,3,20.00 ,2.23 
sub-04,F,29,1,3,14.00 ,(1.39)
sub-05,F,33,1,3,86.00 ,7.11 
sub-06,F,27,1,3,81.50 ,0.88 
sub-07,F,25,1,3,154.25 ,(3.25)
sub-08,M,21,1,3,22.00 ,0.21 
sub-09,F,21,1,3,22.25 ,3.47 
sub-10,F,21,1,3,12.00 ,(3.72)
sub-11,M,24,1,3,49.75 ,5.28 
sub-12,F,31,1,3,119.33 ,7.56 
sub-13,M,48,1,3,125.67 ,2.20 
sub-14,F,19,1,3,37.00 ,0.15 
sub-15,F,32,1,3,92.75 ,12.91 
sub-16,M,19,1,3,82.25 ,14.38 
sub-17,F,23,1,3,117.00 ,3.00 
sub-18,F,19,1,3,3.75 ,0.05 
sub-19,F,24,1,3,112.33 ,(5.86)
sub-20,F,34,1,3,111.50 ,3.49 
sub-21,M,55,1,3,2.00 ,3.11 
sub-22,M,27,1,3,45.00 ,6.06 
sub-23,F,21,1,3,101.25 ,1.06 
sub-24,F,34,1,3,99.75 ,(1.00)
sub-25,F,22,1,3,42.25 ,5.74 
sub-26,F,20,1,3,105.25 ,(3.78)
sub-27,M,32,1,3,27.50 ,(3.95)
sub-28,M,19,1,3,57.00 ,7.81 
sub-29,F,48,1,3,1.00 ,9.21 
sub-30,F,19,1,3,7.25 ,0.47 
sub-31,F,34,1,3,68.75 ,4.28 
sub-32,M,26,1,3,106.75 ,(2.95)
sub-33,F,26,1,3,31.67 ,0.82 
sub-01,M,24,2,1,4.50 ,12.25 
sub-02,F,24,2,1,99.50 ,11.40 
sub-03,M,34,2,1,73.67 ,10.13 
sub-04,F,29,2,1,63.00 ,0.29 
sub-05,F,33,2,1,96.50 ,6.80 
sub-06,F,27,2,1,104.00 ,2.91 
sub-07,F,25,2,1,162.67 ,17.52 
sub-08,M,21,2,1,109.25 ,1.06 
sub-09,F,21,2,1,9.75 ,3.10 
sub-10,F,21,2,1,0.00 ,5.00 
sub-11,M,24,2,1,137.00 ,(1.22)
sub-12,F,31,2,1,34.25 ,5.26 
sub-13,M,48,2,1,102.00 ,3.39 
sub-14,F,19,2,1,67.00 ,(3.91)
sub-15,F,32,2,1,2.00 ,9.42 
sub-16,M,19,2,1,105.33 ,16.55 
sub-17,F,23,2,1,107.00 ,8.47 
sub-18,F,19,2,1,85.00 ,11.84 
sub-19,F,24,2,1,114.75 ,0.67 
sub-20,F,34,2,1,43.75 ,(5.74)
sub-21,M,55,2,1,22.50 ,11.51 
sub-22,M,27,2,1,56.25 ,4.31 
sub-23,F,21,2,1,49.00 ,9.13 
sub-24,F,34,2,1,103.00 ,(17.35)
sub-25,F,22,2,1,18.50 ,(2.36)
sub-26,F,20,2,1,89.50 ,1.61 
sub-27,M,32,2,1,34.33 ,6.49 
sub-28,M,19,2,1,66.50 ,12.19 
sub-29,F,48,2,1,3.33 ,2.16 
sub-30,F,19,2,1,116.33 ,7.49 
sub-31,F,34,2,1,47.25 ,2.81 
sub-32,M,26,2,1,106.00 ,(1.17)
sub-33,F,26,2,1,181.50 ,3.27 
sub-01,M,24,2,2,104.24 ,6.50 
sub-02,F,24,2,2,106.04 ,9.73 
sub-03,M,34,2,2,74.07 ,4.08 
sub-04,F,29,2,2,48.00 ,2.95 
sub-05,F,33,2,2,101.73 ,5.62 
sub-06,F,27,2,2,102.81 ,2.95 
sub-07,F,25,2,2,159.64 ,4.61 
sub-08,M,21,2,2,88.45 ,4.05 
sub-09,F,21,2,2,28.44 ,5.45 
sub-10,F,21,2,2,43.55 ,5.67 
sub-11,M,24,2,2,109.97 ,1.80 
sub-12,F,31,2,2,117.59 ,0.90 
sub-13,M,48,2,2,54.21 ,1.95 
sub-14,F,19,2,2,59.23 ,1.92 
sub-15,F,32,2,2,55.53 ,13.01 
sub-16,M,19,2,2,97.68 ,8.74 
sub-17,F,23,2,2,124.16 ,6.90 
sub-18,F,19,2,2,63.81 ,3.00 
sub-19,F,24,2,2,124.07 ,7.54 
sub-20,F,34,2,2,72.45 ,0.32 
sub-21,M,55,2,2,44.69 ,4.34 
sub-22,M,27,2,2,81.72 ,2.65 
sub-23,F,21,2,2,71.14 ,5.17 
sub-24,F,34,2,2,111.21 ,0.78 
sub-25,F,22,2,2,65.59 ,3.74 
sub-26,F,20,2,2,100.50 ,0.18 
sub-27,M,32,2,2,52.50 ,0.52 
sub-28,M,19,2,2,63.70 ,9.10 
sub-29,F,48,2,2,41.50 ,0.97 
sub-30,F,19,2,2,102.13 ,10.31 
sub-31,F,34,2,2,75.61 ,2.53 
sub-32,M,26,2,2,115.68 ,(0.69)
sub-33,F,26,2,2,149.75 ,4.42 
sub-01,M,24,2,3,128.67 ,5.30 
sub-02,F,24,2,3,107.50 ,13.25 
sub-03,M,34,2,3,65.00 ,5.39 
sub-04,F,29,2,3,48.67 ,(8.02)
sub-05,F,33,2,3,121.75 ,12.31 
sub-06,F,27,2,3,105.67 ,2.42 
sub-07,F,25,2,3,179.75 ,2.86 
sub-08,M,21,2,3,68.00 ,(2.79)
sub-09,F,21,2,3,51.50 ,3.30 
sub-10,F,21,2,3,69.25 ,(4.77)
sub-11,M,24,2,3,143.75 ,7.71 
sub-12,F,31,2,3,132.33 ,1.90 
sub-13,M,48,2,3,131.50 ,4.99 
sub-14,F,19,2,3,81.33 ,7.00 
sub-15,F,32,2,3,142.25 ,14.12 
sub-16,M,19,2,3,105.25 ,10.88 
sub-17,F,23,2,3,137.00 ,(3.50)
sub-18,F,19,2,3,66.25 ,4.72 
sub-19,F,24,2,3,133.50 ,11.29 
sub-20,F,34,2,3,128.75 ,3.25 
sub-21,M,55,2,3,35.00 ,6.23 
sub-22,M,27,2,3,65.00 ,5.17 
sub-23,F,21,2,3,111.25 ,10.89 
sub-24,F,34,2,3,114.00 ,1.29 
sub-25,F,22,2,3,96.50 ,1.89 
sub-26,F,20,2,3,135.00 ,1.53 
sub-27,M,32,2,3,80.00 ,3.57 
sub-28,M,19,2,3,59.00 ,0.74 
sub-29,F,48,2,3,2.33 ,2.87 
sub-30,F,19,2,3,88.00 ,6.24 
sub-31,F,34,2,3,129.50 ,3.82 
sub-32,M,26,2,3,110.00 ,(5.03)
sub-33,F,26,2,3,173.00 ,3.21 
sub-01,M,24,3,1,105.00 ,2.42 
sub-02,F,24,3,1,126.00 ,19.27 
sub-03,M,34,3,1,153.00 ,20.47 
sub-04,F,29,3,1,67.50 ,4.54 
sub-05,F,33,3,1,127.50 ,18.82 
sub-06,F,27,3,1,108.50 ,13.23 
sub-07,F,25,3,1,121.39 ,11.43 
sub-08,M,21,3,1,172.50 ,23.27 
sub-09,F,21,3,1,37.50 ,13.66 
sub-10,F,21,3,1,104.00 ,2.47 
sub-11,M,24,3,1,193.00 ,17.27 
sub-12,F,31,3,1,113.00 ,7.12 
sub-13,M,48,3,1,125.00 ,6.84 
sub-14,F,19,3,1,123.50 ,(10.26)
sub-15,F,32,3,1,106.00 ,13.85 
sub-16,M,19,3,1,116.00 ,21.58 
sub-17,F,23,3,1,160.00 ,21.86 
sub-18,F,19,3,1,130.00 ,12.87 
sub-19,F,24,3,1,130.50 ,11.72 
sub-20,F,34,3,1,117.50 ,3.01 
sub-21,M,55,3,1,106.00 ,12.43 
sub-22,M,27,3,1,100.00 ,4.50 
sub-23,F,21,3,1,100.00 ,22.70 
sub-24,F,34,3,1,120.00 ,0.49 
sub-25,F,22,3,1,130.00 ,11.86 
sub-26,F,20,3,1,137.00 ,0.97 
sub-27,M,32,3,1,100.00 ,4.33 
sub-28,M,19,3,1,119.00 ,28.97 
sub-29,F,48,3,1,106.00 ,9.17 
sub-30,F,19,3,1,126.50 ,21.11 
sub-31,F,34,3,1,89.50 ,3.56 
sub-32,M,26,3,1,137.50 ,4.31 
sub-33,F,26,3,1,197.00 ,17.23 
sub-01,M,24,3,2,129.83 ,8.26 
sub-02,F,24,3,2,125.16 ,19.51 
sub-03,M,34,3,2,154.76 ,12.25 
sub-04,F,29,3,2,121.80 ,12.33 
sub-05,F,33,3,2,141.21 ,13.77 
sub-06,F,27,3,2,119.42 ,10.79 
sub-07,F,25,3,2,187.71 ,25.99 
sub-08,M,21,3,2,170.44 ,18.49 
sub-09,F,21,3,2,126.06 ,11.79 
sub-10,F,21,3,2,94.31 ,10.06 
sub-11,M,24,3,2,153.29 ,12.47 
sub-12,F,31,3,2,145.11 ,4.81 
sub-13,M,48,3,2,134.64 ,4.20 
sub-14,F,19,3,2,102.06 ,6.61 
sub-15,F,32,3,2,125.64 ,18.83 
sub-16,M,19,3,2,117.73 ,15.09 
sub-17,F,23,3,2,161.94 ,19.60 
sub-18,F,19,3,2,137.11 ,11.42 
sub-19,F,24,3,2,139.73 ,17.09 
sub-20,F,34,3,2,144.39 ,1.07 
sub-21,M,55,3,2,117.61 ,8.03 
sub-22,M,27,3,2,114.35 ,10.26 
sub-23,F,21,3,2,119.82 ,12.07 
sub-24,F,34,3,2,129.21 ,8.39 
sub-25,F,22,3,2,134.80 ,11.43 
sub-26,F,20,3,2,172.47 ,7.20 
sub-27,M,32,3,2,104.94 ,7.33 
sub-28,M,19,3,2,128.82 ,18.21 
sub-29,F,48,3,2,89.58 ,(2.45)
sub-30,F,19,3,2,145.07 ,20.68 
sub-31,F,34,3,2,145.24 ,9.97 
sub-32,M,26,3,2,148.18 ,2.24 
sub-33,F,26,3,2,197.75 ,9.58 
sub-01,M,24,3,3,121.50 ,14.07 
sub-02,F,24,3,3,126.00 ,33.57 
sub-03,M,34,3,3,150.00 ,24.15 
sub-04,F,29,3,3,110.00 ,7.27 
sub-05,F,33,3,3,151.50 ,11.52 
sub-06,F,27,3,3,114.00 ,21.31 
sub-07,F,25,3,3,195.00 ,34.82 
sub-08,M,21,3,3,159.50 ,23.26 
sub-09,F,21,3,3,134.50 ,7.10 
sub-10,F,21,3,3,122.00 ,6.26 
sub-11,M,24,3,3,95.00 ,0.64 
sub-12,F,31,3,3,156.00 ,7.95 
sub-13,M,48,3,3,140.00 ,(4.78)
sub-14,F,19,3,3,143.00 ,10.10 
sub-15,F,32,3,3,171.00 ,18.88 
sub-16,M,19,3,3,139.62 ,11.70 
sub-17,F,23,3,3,139.62 ,11.70 
sub-18,F,19,3,3,157.00 ,11.68 
sub-19,F,24,3,3,151.50 ,15.49 
sub-20,F,34,3,3,172.50 ,2.19 
sub-21,M,55,3,3,112.50 ,6.22 
sub-22,M,27,3,3,122.50 ,14.13 
sub-23,F,21,3,3,134.00 ,24.74 
sub-24,F,34,3,3,135.00 ,7.08 
sub-25,F,22,3,3,140.00 ,2.41 
sub-26,F,20,3,3,172.00 ,7.99 
sub-27,M,32,3,3,107.50 ,6.10 
sub-28,M,19,3,3,143.00 ,11.88 
sub-29,F,48,3,3,105.00 ,7.39 
sub-30,F,19,3,3,139.62 ,11.70 
sub-31,F,34,3,3,166.50 ,5.38 
sub-32,M,26,3,3,141.00 ,0.49 
sub-33,F,26,3,3,139.62 ,11.70 
