subjects	temperature	ratings_intensity	ratings_unpleasantness	regulation
8	46	18.14516129	42.94354839	0
8	47	18.14516129	41.73387097	0
8	49	24.19354839	38.70967742	1
8	46	20.56451613	41.73387097	1
8	48	27.41935484	38.30645161	1
8	47	22.58064516	39.71774194	1
8	44	13.30645161	43.75	1
8	45	15.32258065	44.35483871	1
8	46	17.33870968	39.91935484	1
8	45	19.35483871	43.5483871	1
8	48	24.19354839	37.2983871	1
8	44	8.064516129	50	1
8	47	20.16129032	40.92741935	1
8	49	21.37096774	37.09677419	1
8	45	15.32258065	45.76612903	0
8	44	15.72580645	46.77419355	0
8	48	19.35483871	38.50806452	0
8	47	15.72580645	43.14516129	0
8	46	14.91935484	43.14516129	0
8	49	30.24193548	38.10483871	0
8	44	4.838709677	47.78225806	-1
8	49	24.59677419	40.12096774	-1
8	46	16.12903226	42.94354839	-1
8	45	14.11290323	44.75806452	-1
8	47	14.91935484	37.90322581	-1
8	48	32.66129032	36.89516129	-1
8	46	21.37096774	42.94354839	1
8	48	22.98387097	37.90322581	1
8	47	23.79032258	41.33064516	1
8	49	27.82258065	37.2983871	1
8	45	9.274193548	42.94354839	1
8	44	14.11290323	45.76612903	1
8	48	20.96774194	38.30645161	-1
8	45	11.69354839	39.31451613	-1
8	49	21.77419355	39.51612903	-1
8	44	12.09677419	46.16935484	-1
8	46	15.32258065	42.54032258	-1
8	47	14.51612903	37.2983871	-1
8	48	16.12903226	41.73387097	0
8	49	16.93548387	39.11290323	0
8	44	4.838709677	47.98387097	0
8	46	12.90322581	41.73387097	0
8	45	14.11290323	45.16129032	0
8	47	12.5	40.92741935	0
9	44	4.032258065	51.00806452	0
9	46	8.870967742	44.35483871	0
9	49	34.27419355	30.04032258	0
9	47	25	33.66935484	0
9	45	10.08064516	43.34677419	0
9	48	22.58064516	33.46774194	0
9	49	49.19354839	29.43548387	1
9	46	24.19354839	38.91129032	1
9	48	48.38709677	31.4516129	1
9	47	45.56451613	29.83870968	1
9	44	6.85483871	46.16935484	1
9	45	19.35483871	41.53225806	1
9	47	19.35483871	35.08064516	-1
9	44	3.225806452	54.23387097	-1
9	49	12.90322581	39.91935484	-1
9	46	16.12903226	60.28225806	-1
9	48	25	38.70967742	-1
9	45	14.11290323	52.01612903	-1
9	47	19.35483871	40.72580645	-1
9	45	5.241935484	52.41935484	-1
9	44	4.838709677	54.83870968	-1
9	46	6.85483871	44.35483871	-1
9	49	22.17741935	40.32258065	-1
9	48	26.20967742	35.68548387	-1
9	47	18.5483871	36.49193548	1
9	49	39.51612903	29.23387097	1
9	48	39.91935484	32.66129032	1
9	46	18.14516129	35.08064516	1
9	45	11.29032258	39.31451613	1
9	44	5.241935484	41.33064516	1
9	47	28.22580645	35.08064516	0
9	46	11.69354839	40.92741935	0
9	49	38.30645161	33.66935484	0
9	45	8.064516129	53.62903226	0
9	48	20.16129032	45.36290323	0
9	44	2.822580645	53.62903226	0
9	47	19.75806452	40.32258065	-1
9	46	11.69354839	44.15322581	-1
9	48	14.91935484	40.52419355	-1
9	44	3.629032258	63.91129032	-1
9	49	35.48387097	35.48387097	-1
9	45	8.064516129	59.27419355	-1
9	48	18.9516129	45.16129032	0
9	45	9.274193548	58.87096774	0
9	49	13.70967742	45.56451613	0
9	47	9.274193548	37.09677419	0
9	46	12.90322581	39.11290323	0
9	44	7.661290323	59.87903226	0
9	46	16.12903226	38.50806452	1
9	44	4.032258065	46.37096774	1
9	45	8.064516129	42.54032258	1
9	49	32.66129032	35.88709677	1
9	48	32.66129032	36.69354839	1
9	47	15.32258065	34.27419355	1
10	48	28.22580645	40.32258065	1
10	44	11.69354839	53.62903226	1
10	49	18.5483871	41.33064516	1
10	45	13.70967742	58.66935484	1
10	47	12.90322581	47.17741935	1
10	46	11.69354839	55.04032258	1
10	48	11.29032258	58.87096774	-1
10	44	4.435483871	51.41129032	-1
10	47	6.048387097	54.23387097	-1
10	49	22.58064516	63.50806452	-1
10	46	6.85483871	56.25	-1
10	45	8.064516129	53.02419355	-1
10	44	6.048387097	56.4516129	0
10	48	25.80645161	65.12096774	0
10	49	20.56451613	60.88709677	0
10	45	8.064516129	53.62903226	0
10	47	10.88709677	55.64516129	0
10	46	8.467741935	57.86290323	0
10	45	14.11290323	55.44354839	0
10	48	26.61290323	61.69354839	0
10	49	38.70967742	67.74193548	0
10	44	5.64516129	52.21774194	0
10	47	22.58064516	58.66935484	0
10	46	15.72580645	56.25	0
10	44	6.85483871	52.82258065	-1
10	47	5.241935484	52.82258065	-1
10	48	20.16129032	67.74193548	-1
10	46	10.48387097	62.09677419	-1
10	45	9.677419355	61.69354839	-1
10	49	39.11290323	71.97580645	-1
10	48	16.12903226	50	1
10	44	8.870967742	52.62096774	1
10	49	30.64516129	37.5	1
10	45	11.29032258	58.66935484	1
10	46	16.12903226	61.49193548	1
10	47	17.74193548	57.66129032	1
10	46	13.30645161	56.0483871	0
10	49	24.59677419	60.88709677	0
10	48	24.19354839	58.46774194	0
10	47	13.70967742	60.68548387	0
10	45	15.72580645	57.25806452	0
10	44	0	50	0
10	49	25	37.90322581	1
10	44	0	50	1
10	48	14.11290323	40.92741935	1
10	45	0	50	1
10	46	6.048387097	53.83064516	1
10	47	6.85483871	47.98387097	1
10	44	11.69354839	55.04032258	-1
10	46	6.85483871	52.82258065	-1
10	47	8.870967742	54.23387097	-1
10	45	13.70967742	64.91935484	-1
10	49	47.98387097	71.37096774	-1
10	48	14.11290323	65.92741935	-1
11	45	8.467741935	50	0
11	49	16.93548387	43.5483871	0
11	48	7.661290323	48.18548387	0
11	44	4.032258065	50.40322581	0
11	46	5.64516129	48.79032258	0
11	47	6.451612903	48.58870968	0
11	45	1.612903226	51.61290323	-1
11	46	1.209677419	53.42741935	-1
11	44	0	55.44354839	-1
11	47	4.435483871	50.60483871	-1
11	48	7.661290323	49.19354839	-1
11	49	10.88709677	48.38709677	-1
11	46	5.241935484	46.16935484	1
11	47	6.048387097	47.78225806	1
11	44	0.806451613	50	1
11	48	3.225806452	48.58870968	1
11	45	1.209677419	48.18548387	1
11	49	12.09677419	44.15322581	1
11	46	3.629032258	51.20967742	-1
11	47	3.629032258	51.20967742	-1
11	48	9.274193548	47.58064516	-1
11	44	0	58.66935484	-1
11	45	3.629032258	52.62096774	-1
11	49	9.274193548	45.76612903	-1
11	46	4.838709677	48.99193548	0
11	45	3.225806452	50	0
11	49	6.048387097	42.33870968	0
11	48	5.241935484	48.18548387	0
11	44	0	55.24193548	0
11	47	6.451612903	48.58870968	0
11	46	0	50	1
11	44	0	52.01612903	1
11	48	8.467741935	46.16935484	1
11	47	7.258064516	47.58064516	1
11	45	0.403225806	50	1
11	49	6.451612903	47.78225806	1
11	47	4.435483871	47.78225806	1
11	46	0	48.18548387	1
11	44	0	52.01612903	1
11	48	15.32258065	45.16129032	1
11	45	0	50	1
11	49	12.5	42.74193548	1
11	44	0	54.23387097	0
11	46	2.822580645	48.79032258	0
11	47	6.451612903	47.58064516	0
11	45	2.822580645	50	0
11	48	8.064516129	45.96774194	0
11	49	11.69354839	44.95967742	0
11	45	0	50	-1
11	49	17.74193548	35.88709677	-1
11	47	10.48387097	44.15322581	-1
11	46	6.451612903	46.16935484	-1
11	48	20.16129032	38.30645161	-1
11	44	0	51.61290323	-1
12	45	9.677419355	46.37096774	1
12	49	42.74193548	42.33870968	1
12	46	16.93548387	42.74193548	1
12	48	41.93548387	36.08870968	1
12	44	4.838709677	47.78225806	1
12	47	31.0483871	44.95967742	1
12	46	1.209677419	48.18548387	0
12	48	13.70967742	44.75806452	0
12	45	3.629032258	49.19354839	0
12	44	0.806451613	49.59677419	0
12	47	18.9516129	45.16129032	0
12	49	53.62903226	30.04032258	0
12	46	3.225806452	47.78225806	-1
12	45	2.016129032	57.05645161	-1
12	49	5.64516129	48.38709677	-1
12	47	5.64516129	46.16935484	-1
12	44	1.612903226	49.39516129	-1
12	48	8.467741935	44.75806452	-1
12	47	13.30645161	44.55645161	0
12	49	29.83870968	38.50806452	0
12	44	2.822580645	49.19354839	0
12	46	4.838709677	48.38709677	0
12	45	6.451612903	46.37096774	0
12	48	47.17741935	37.7016129	0
12	49	50	36.29032258	1
